Shop Name,latitude,longitude,Retailer Subtype,YTD Retailing Value,country,Opportunity
U.I COSMETICS,8.4803285,4.5392965,Secondary,0.0,Nigeria,Dead Whitespace
FRANCO COSMETICS,8.4803297,4.5390111,Secondary,0.0,Nigeria,Dead Whitespace
ogo oluwa store,8.4803373,4.6285234,Secondary,74.95523,Nigeria,Low Performer
mufsuf store,8.480355,4.6283733,Secondary,155.78412,Nigeria,Low Performer
DANCO COSMETICS,8.4803612,4.5391423,Secondary,0.0,Nigeria,Dead Whitespace
Alvins cosmetics,8.4803869,4.5390524,Secondary,193.09005,Nigeria,Low Performer
CHIDOM COSMETICS,8.4804068,4.5389177,Secondary,0.0,Nigeria,Dead Whitespace
SANJAY COSMETICS SAWMILL GARRAGE,8.4804083,4.5391445,Secondary,0.0,Nigeria,Dead Whitespace
EASY COSMETICS UNITY,8.480414,4.5391327,Secondary,0.0,Nigeria,Dead Whitespace
Warafana store,8.4804178,4.6297084,Secondary,50.76828,Nigeria,Underperforming
De- rhymes store,8.4804211,4.631154,Secondary,268.10853,Nigeria,Low Performer
food & nut super store,8.4804316,4.5387084,Secondary,73.68615,Nigeria,Low Performer
Ranks supermarket,8.4804369,4.539454,Secondary,122.22849,Nigeria,Low Performer
DANCO COSMETICS,8.48044,4.5391383,Secondary,71.45178,Nigeria,Low Performer
ADEOTI,8.480836,4.5003468,Secondary,265.939317,Nigeria,Low Performer
jockervellas cosmetics,8.4808633,4.6164204,Secondary,97.43147,Nigeria,Low Performer
peculiar cosmetics,8.48087,4.6184967,Secondary,201.28276,Nigeria,Low Performer
Ewakorede store,8.4810673,4.6139179,Secondary,79.19628,Nigeria,Low Performer
ABJ store,8.48125,4.613715,Secondary,367.6656,Nigeria,Low Performer
Timak store,8.4813063,4.6112963,Secondary,87.2346,Nigeria,Low Performer
IYA SUKURA,8.4813575,4.607462,Secondary,0.0,Nigeria,Dead Whitespace
Anchor srore,8.4813739,4.6143148,Secondary,226.01868,Nigeria,Low Performer
Micky cosmetics,8.4814161,4.6089016,Secondary,113.28666,Nigeria,Low Performer
MICHEY COSMETICS,8.4814262,4.6087382,Secondary,0.0,Nigeria,Dead Whitespace
chidex cosmetics,8.4816398,4.6073432,Secondary,272.29429,Nigeria,Low Performer
SHEKAYO STORES,8.4817034,4.6061724,Secondary,0.0,Nigeria,Dead Whitespace
MAMTEX STORES TAIWO ISALE,8.4817338,4.5435159,Secondary,0.0,Nigeria,Dead Whitespace
ROTA PHARMACY,8.481766,4.547402,Secondary,914.369757,Nigeria,High Performer
ZION COSMETICS,8.48262,4.6035208,Secondary,0.0,Nigeria,Dead Whitespace
IYA KOLA,8.4826676,4.6043196,Secondary,0.0,Nigeria,Dead Whitespace
VICTORY COSMETICS,8.4827886,4.604582,Secondary,715.6968,Nigeria,High Performer
MATHDOLLAR PHARMACY,8.4828218,4.5040117,Secondary,507.691611,Nigeria,Active
IYA ADINNI,8.4828961,4.6041319,Secondary,0.0,Nigeria,Dead Whitespace
ALBARIKA COSMETICS OJA OBA,8.4832139,4.6036964,Secondary,225.92346,Nigeria,Low Performer
ULTIMATE STORES,8.4833258,4.5578528,Secondary,0.0,Nigeria,Dead Whitespace
mummy favour store,8.4834191,4.5648032,Secondary,544.70251,Nigeria,Active
IYA WAHAAB COSMETICS,8.4834525,4.5357141,Secondary,0.0,Nigeria,Dead Whitespace
